"","Country.Region","date","CumCaseNumber","IncCaseNumber","geo","Continent","country_region"
"33840","Nicaragua",2020-06-14,1464,0,"NI","NA","Nicaragua"
"33841","Nicaragua",2020-06-15,1464,0,"NI","NA","Nicaragua"
"33842","Nicaragua",2020-06-16,1823,359,"NI","NA","Nicaragua"
"33843","Nicaragua",2020-06-17,1823,0,"NI","NA","Nicaragua"
"33844","Nicaragua",2020-06-18,1823,0,"NI","NA","Nicaragua"
"33845","Nicaragua",2020-06-19,1823,0,"NI","NA","Nicaragua"
"33846","Nicaragua",2020-06-20,1823,0,"NI","NA","Nicaragua"
"33847","Nicaragua",2020-06-21,1823,0,"NI","NA","Nicaragua"
"33848","Nicaragua",2020-06-22,1823,0,"NI","NA","Nicaragua"
"33849","Nicaragua",2020-06-23,2170,347,"NI","NA","Nicaragua"
"33850","Nicaragua",2020-06-24,2170,0,"NI","NA","Nicaragua"
"33851","Nicaragua",2020-06-25,2170,0,"NI","NA","Nicaragua"
"33852","Nicaragua",2020-06-26,2170,0,"NI","NA","Nicaragua"
"33853","Nicaragua",2020-06-27,2170,0,"NI","NA","Nicaragua"
"33854","Nicaragua",2020-06-28,2170,0,"NI","NA","Nicaragua"
"33855","Nicaragua",2020-06-29,2170,0,"NI","NA","Nicaragua"
"33856","Nicaragua",2020-06-30,2519,349,"NI","NA","Nicaragua"
"33857","Nicaragua",2020-07-01,2519,0,"NI","NA","Nicaragua"
"33858","Nicaragua",2020-07-02,2519,0,"NI","NA","Nicaragua"
"33859","Nicaragua",2020-07-03,2519,0,"NI","NA","Nicaragua"
"33860","Nicaragua",2020-07-04,2519,0,"NI","NA","Nicaragua"
"33861","Nicaragua",2020-07-05,2519,0,"NI","NA","Nicaragua"
"33862","Nicaragua",2020-07-06,2519,0,"NI","NA","Nicaragua"
"33863","Nicaragua",2020-07-07,2846,327,"NI","NA","Nicaragua"
"33864","Nicaragua",2020-07-08,2846,0,"NI","NA","Nicaragua"
"33865","Nicaragua",2020-07-09,2846,0,"NI","NA","Nicaragua"
"33866","Nicaragua",2020-07-10,2846,0,"NI","NA","Nicaragua"
"33867","Nicaragua",2020-07-11,2846,0,"NI","NA","Nicaragua"
"33868","Nicaragua",2020-07-12,2846,0,"NI","NA","Nicaragua"
"33869","Nicaragua",2020-07-13,2846,0,"NI","NA","Nicaragua"
"33870","Nicaragua",2020-07-14,3147,301,"NI","NA","Nicaragua"
"33871","Nicaragua",2020-07-15,3147,0,"NI","NA","Nicaragua"
"33872","Nicaragua",2020-07-16,3147,0,"NI","NA","Nicaragua"
"33873","Nicaragua",2020-07-17,3147,0,"NI","NA","Nicaragua"
"33874","Nicaragua",2020-07-18,3147,0,"NI","NA","Nicaragua"
"33875","Nicaragua",2020-07-19,3147,0,"NI","NA","Nicaragua"
"33876","Nicaragua",2020-07-20,3147,0,"NI","NA","Nicaragua"
"33877","Nicaragua",2020-07-21,3439,292,"NI","NA","Nicaragua"
"33878","Nicaragua",2020-07-22,3439,0,"NI","NA","Nicaragua"
"33879","Nicaragua",2020-07-23,3439,0,"NI","NA","Nicaragua"
"33880","Nicaragua",2020-07-24,3439,0,"NI","NA","Nicaragua"
"33881","Nicaragua",2020-07-25,3439,0,"NI","NA","Nicaragua"
"33882","Nicaragua",2020-07-26,3439,0,"NI","NA","Nicaragua"
"33883","Nicaragua",2020-07-27,3439,0,"NI","NA","Nicaragua"
"33884","Nicaragua",2020-07-28,3672,233,"NI","NA","Nicaragua"
"33885","Nicaragua",2020-07-29,3672,0,"NI","NA","Nicaragua"
"33886","Nicaragua",2020-07-30,3672,0,"NI","NA","Nicaragua"
"33887","Nicaragua",2020-07-31,3672,0,"NI","NA","Nicaragua"
"33888","Nicaragua",2020-08-01,3672,0,"NI","NA","Nicaragua"
"33889","Nicaragua",2020-08-02,3672,0,"NI","NA","Nicaragua"
"33890","Nicaragua",2020-08-03,3672,0,"NI","NA","Nicaragua"
"33891","Nicaragua",2020-08-04,3902,230,"NI","NA","Nicaragua"
"33892","Nicaragua",2020-08-05,3902,0,"NI","NA","Nicaragua"
"33893","Nicaragua",2020-08-06,3902,0,"NI","NA","Nicaragua"
"33894","Nicaragua",2020-08-07,3902,0,"NI","NA","Nicaragua"
"33895","Nicaragua",2020-08-08,3902,0,"NI","NA","Nicaragua"
"33896","Nicaragua",2020-08-09,3902,0,"NI","NA","Nicaragua"
"33897","Nicaragua",2020-08-10,3902,0,"NI","NA","Nicaragua"
"33898","Nicaragua",2020-08-11,4115,213,"NI","NA","Nicaragua"
"33899","Nicaragua",2020-08-12,4115,0,"NI","NA","Nicaragua"
"33900","Nicaragua",2020-08-13,4115,0,"NI","NA","Nicaragua"
"33901","Nicaragua",2020-08-14,4115,0,"NI","NA","Nicaragua"
"33902","Nicaragua",2020-08-15,4115,0,"NI","NA","Nicaragua"
"33903","Nicaragua",2020-08-16,4115,0,"NI","NA","Nicaragua"
"33904","Nicaragua",2020-08-17,4115,0,"NI","NA","Nicaragua"
"33905","Nicaragua",2020-08-18,4311,196,"NI","NA","Nicaragua"
"33906","Nicaragua",2020-08-19,4311,0,"NI","NA","Nicaragua"
"33907","Nicaragua",2020-08-20,4311,0,"NI","NA","Nicaragua"
"33908","Nicaragua",2020-08-21,4311,0,"NI","NA","Nicaragua"
"33909","Nicaragua",2020-08-22,4311,0,"NI","NA","Nicaragua"
"33910","Nicaragua",2020-08-23,4311,0,"NI","NA","Nicaragua"
"33911","Nicaragua",2020-08-24,4311,0,"NI","NA","Nicaragua"
"33912","Nicaragua",2020-08-25,4494,183,"NI","NA","Nicaragua"
"33913","Nicaragua",2020-08-26,4494,0,"NI","NA","Nicaragua"
"33914","Nicaragua",2020-08-27,4494,0,"NI","NA","Nicaragua"
"33915","Nicaragua",2020-08-28,4494,0,"NI","NA","Nicaragua"
"33916","Nicaragua",2020-08-29,4494,0,"NI","NA","Nicaragua"
"33917","Nicaragua",2020-08-30,4494,0,"NI","NA","Nicaragua"
"33918","Nicaragua",2020-08-31,4494,0,"NI","NA","Nicaragua"
"33919","Nicaragua",2020-09-01,4668,174,"NI","NA","Nicaragua"
"33920","Nicaragua",2020-09-02,4668,0,"NI","NA","Nicaragua"
"33921","Nicaragua",2020-09-03,4668,0,"NI","NA","Nicaragua"
"33922","Nicaragua",2020-09-04,4668,0,"NI","NA","Nicaragua"
"33923","Nicaragua",2020-09-05,4668,0,"NI","NA","Nicaragua"
"33924","Nicaragua",2020-09-06,4668,0,"NI","NA","Nicaragua"
"33925","Nicaragua",2020-09-07,4668,0,"NI","NA","Nicaragua"
"33926","Nicaragua",2020-09-08,4818,150,"NI","NA","Nicaragua"
"33927","Nicaragua",2020-09-09,4818,0,"NI","NA","Nicaragua"
"33928","Nicaragua",2020-09-10,4818,0,"NI","NA","Nicaragua"
"33929","Nicaragua",2020-09-11,4818,0,"NI","NA","Nicaragua"
"33930","Nicaragua",2020-09-12,4818,0,"NI","NA","Nicaragua"
"33931","Nicaragua",2020-09-13,4818,0,"NI","NA","Nicaragua"
"33932","Nicaragua",2020-09-14,4818,0,"NI","NA","Nicaragua"
"33933","Nicaragua",2020-09-15,4961,143,"NI","NA","Nicaragua"
"33934","Nicaragua",2020-09-16,4961,0,"NI","NA","Nicaragua"
"33935","Nicaragua",2020-09-17,4961,0,"NI","NA","Nicaragua"
"33936","Nicaragua",2020-09-18,4961,0,"NI","NA","Nicaragua"
"33937","Nicaragua",2020-09-19,4961,0,"NI","NA","Nicaragua"
"33938","Nicaragua",2020-09-20,4961,0,"NI","NA","Nicaragua"
"33939","Nicaragua",2020-09-21,4961,0,"NI","NA","Nicaragua"
"33940","Nicaragua",2020-09-22,5073,112,"NI","NA","Nicaragua"
"33941","Nicaragua",2020-09-23,5073,0,"NI","NA","Nicaragua"
"33942","Nicaragua",2020-09-24,5073,0,"NI","NA","Nicaragua"
"33943","Nicaragua",2020-09-25,5073,0,"NI","NA","Nicaragua"
"33944","Nicaragua",2020-09-26,5073,0,"NI","NA","Nicaragua"
"33945","Nicaragua",2020-09-27,5073,0,"NI","NA","Nicaragua"
"33946","Nicaragua",2020-09-28,5073,0,"NI","NA","Nicaragua"
"33947","Nicaragua",2020-09-29,5170,97,"NI","NA","Nicaragua"
"33948","Nicaragua",2020-09-30,5170,0,"NI","NA","Nicaragua"
"33949","Nicaragua",2020-10-01,5170,0,"NI","NA","Nicaragua"
"33950","Nicaragua",2020-10-02,5170,0,"NI","NA","Nicaragua"
"33951","Nicaragua",2020-10-03,5170,0,"NI","NA","Nicaragua"
"33952","Nicaragua",2020-10-04,5170,0,"NI","NA","Nicaragua"
"33953","Nicaragua",2020-10-05,5170,0,"NI","NA","Nicaragua"
"33954","Nicaragua",2020-10-06,5264,94,"NI","NA","Nicaragua"
"33955","Nicaragua",2020-10-07,5264,0,"NI","NA","Nicaragua"
"33956","Nicaragua",2020-10-08,5264,0,"NI","NA","Nicaragua"
"33957","Nicaragua",2020-10-09,5264,0,"NI","NA","Nicaragua"
"33958","Nicaragua",2020-10-10,5264,0,"NI","NA","Nicaragua"
"33959","Nicaragua",2020-10-11,5264,0,"NI","NA","Nicaragua"
"33960","Nicaragua",2020-10-12,5264,0,"NI","NA","Nicaragua"
"33961","Nicaragua",2020-10-13,5353,89,"NI","NA","Nicaragua"
"33962","Nicaragua",2020-10-14,5353,0,"NI","NA","Nicaragua"
"33963","Nicaragua",2020-10-15,5353,0,"NI","NA","Nicaragua"
"33964","Nicaragua",2020-10-16,5353,0,"NI","NA","Nicaragua"
"33965","Nicaragua",2020-10-17,5353,0,"NI","NA","Nicaragua"
"33966","Nicaragua",2020-10-18,5353,0,"NI","NA","Nicaragua"
"33967","Nicaragua",2020-10-19,5353,0,"NI","NA","Nicaragua"
"33968","Nicaragua",2020-10-20,5434,81,"NI","NA","Nicaragua"
"33969","Nicaragua",2020-10-21,5434,0,"NI","NA","Nicaragua"
"33970","Nicaragua",2020-10-22,5434,0,"NI","NA","Nicaragua"
